KO_id	image_id
KO:K00445	map04916
KO:K00445	map05166
KO:K00445	map05200
KO:K00445	map05205
KO:K00445	map05217
KO:K00446	map00361
KO:K00446	map00362
KO:K00446	map00622
KO:K00446	map00643
KO:K00446	map01220
KO:K00448	map00362
KO:K00448	map00624
KO:K00448	map01220
KO:K00449	map00362
KO:K00449	map00624
KO:K00449	map01220
KO:K00450	map00350
KO:K00451	map00350
KO:K00451	map00643
KO:K00452	map00380
KO:K00453	map00380
KO:K00454	map00591
KO:K00454	map00592
KO:K00455	map00350
KO:K00455	map01220
KO:K00456	map00270
KO:K00456	map00430
KO:K00457	map00130
KO:K00457	map00350
KO:K00457	map00360
KO:K00458	map00590
KO:K00458	map04726
KO:K00458	map04750
KO:K00459	map00910
KO:K00460	map00590
KO:K00460	map00591
KO:K00460	map04726
KO:K00461	map00590
KO:K00461	map04726
KO:K00461	map04913
KO:K00461	map05145
KO:K00462	map00361
KO:K00462	map00621
KO:K00462	map01220
KO:K00463	map00380
KO:K00463	map05143
KO:K00466	map00380
KO:K00467	map00620
KO:K00469	map00053
KO:K00469	map00562
KO:K00471	map00310
KO:K00472	map00330
KO:K00473	map00310
KO:K00474	map00310
KO:K00475	map00941
KO:K00477	map04146
KO:K00480	map00621
KO:K00480	map00624
KO:K00480	map00626
KO:K00480	map01220
KO:K00481	map00362
KO:K00481	map01220
KO:K00483	map00350
KO:K00483	map01220
KO:K00484	map00350
KO:K00484	map01220
KO:K00485	map00982
KO:K00486	map00380
KO:K00487	map00130
KO:K00487	map00360
KO:K00487	map00940
KO:K00487	map00941
KO:K00487	map00945
KO:K00487	map01220
KO:K00488	map00120
KO:K00488	map03320
KO:K00489	map00120
KO:K00489	map00140
KO:K00489	map03320
KO:K00489	map04976
KO:K00491	map00220
KO:K00491	map00330
KO:K00493	map00071
KO:K00493	map00380
KO:K00493	map00627
KO:K00494	map02020
KO:K00496	map00071
KO:K00497	map00140
KO:K00498	map00140
KO:K00498	map04913
KO:K00498	map04925
KO:K00499	map00260
KO:K00500	map00360
KO:K00500	map00400
KO:K00500	map01230
KO:K00501	map00350
KO:K00501	map00950
KO:K00501	map04728
KO:K00501	map04917
KO:K00501	map05012
KO:K00501	map05030
KO:K00501	map05031
KO:K00501	map05034
KO:K00502	map00380
KO:K00502	map04726
KO:K00503	map00350
KO:K00505	map00350
KO:K00505	map00740
KO:K00505	map00950
KO:K00505	map00965
KO:K00505	map04916
KO:K00506	map00350
KO:K00506	map04916
KO:K00507	map01040
KO:K00507	map01212
KO:K00507	map03320
KO:K00507	map04152
KO:K00507	map04212
KO:K00508	map00591
KO:K00509	map00590
KO:K00509	map04611
KO:K00509	map04726
KO:K00509	map04923
KO:K00510	map00860
KO:K00510	map04978
KO:K00511	map00100
KO:K00511	map00909
KO:K00512	map00140
KO:K00512	map04913
KO:K00512	map04917
KO:K00513	map00140
KO:K00513	map04925
KO:K00514	map00906
KO:K00515	map00830
KO:K00517	map00363
KO:K00517	map00624
KO:K00517	map00627
KO:K00517	map00903
KO:K00517	map00945
KO:K00522	map04978
KO:K00523	map00520
KO:K00524	map00230
KO:K00524	map00240
KO:K00525	map00230
KO:K00525	map00240
KO:K00526	map00230
KO:K00526	map00240
KO:K00527	map00230
KO:K00527	map00240
KO:K00529	map00071
KO:K00529	map00360
KO:K00529	map01220
KO:K00531	map00625
KO:K00531	map00910
KO:K00541	map00760
KO:K00542	map00260
KO:K00542	map00330
KO:K00543	map00380
KO:K00544	map00260
KO:K00544	map00270
KO:K00545	map00140
KO:K00545	map00350
KO:K00545	map00965
KO:K00545	map04728
KO:K00546	map00340
KO:K00547	map00270
KO:K00548	map00270
KO:K00548	map00450
KO:K00548	map00670
KO:K00548	map01230
KO:K00549	map00270
KO:K00549	map00450
KO:K00549	map01230
KO:K00550	map00564
KO:K00551	map00564
KO:K00552	map00260
KO:K00553	map00350
KO:K00558	map00270
KO:K00558	map05206
KO:K00559	map00100
KO:K00560	map00240
KO:K00560	map00670
KO:K00562	map00380
KO:K00562	map00450
KO:K00565	map03015
KO:K00566	map04122
KO:K00568	map00130
KO:K00569	map00983
KO:K00570	map00564
KO:K00572	map04310
KO:K00572	map04340
KO:K00572	map04390
KO:K00572	map04550
KO:K00572	map04916
KO:K00572	map05166
KO:K00572	map05200
KO:K00572	map05205
KO:K00572	map05217
KO:K00575	map02020
KO:K00575	map02030
KO:K00577	map00680
KO:K00577	map01200
KO:K00578	map00680
KO:K00578	map01200
KO:K00579	map00680
KO:K00579	map01200
KO:K00580	map00680
KO:K00580	map01200
KO:K00581	map00680
KO:K00581	map01200
KO:K00582	map00680
KO:K00582	map01200
KO:K00583	map00680
KO:K00583	map01200
KO:K00584	map00680
KO:K00584	map01200
KO:K00587	map00900
KO:K00588	map00360
KO:K00588	map00940
KO:K00588	map00941
KO:K00588	map00945
KO:K00589	map00860
KO:K00591	map00130
KO:K00595	map00860
KO:K00600	map00260
KO:K00600	map00460
KO:K00600	map00630
KO:K00600	map00670
KO:K00600	map00680
KO:K00600	map01200
KO:K00600	map01230
KO:K00601	map00230
KO:K00601	map00670
KO:K00602	map00230
KO:K00602	map00670
KO:K00603	map00340
KO:K00603	map00670
KO:K00604	map00670
KO:K00604	map00970
KO:K00605	map00260
KO:K00605	map00630
KO:K00605	map00670
KO:K00605	map01200
KO:K00606	map00770
KO:K00608	map00240
KO:K00608	map00250
KO:K00609	map00240
KO:K00609	map00250
KO:K00610	map00240
KO:K00610	map00250
KO:K00611	map00220
KO:K00611	map01230
KO:K00613	map00260
KO:K00613	map00330
KO:K00615	map00030
KO:K00615	map00710
KO:K00615	map01051
KO:K00615	map01200
KO:K00615	map01230
KO:K00616	map00030
KO:K00616	map01200
KO:K00616	map01230
KO:K00618	map00220
KO:K00618	map01210
KO:K00618	map01230
KO:K00619	map00220
KO:K00619	map01210
KO:K00619	map01230
KO:K00620	map00220
KO:K00620	map01210
KO:K00620	map01230
KO:K00621	map00520
KO:K00622	map00232
KO:K00622	map00633
KO:K00622	map00983
KO:K00622	map05204
KO:K00623	map00564
KO:K00623	map04725
KO:K00624	map04146
KO:K00625	map00430
KO:K00625	map00620
KO:K00625	map00640
KO:K00625	map00680
KO:K00625	map00720
KO:K00625	map01200
KO:K00626	map00071
KO:K00626	map00072
KO:K00626	map00280
KO:K00626	map00310
KO:K00626	map00362
KO:K00626	map00380
KO:K00626	map00620
KO:K00626	map00630
KO:K00626	map00640
KO:K00626	map00650
KO:K00626	map00720
KO:K00626	map00900
KO:K00626	map01200
KO:K00626	map01212
KO:K00626	map02020
KO:K00627	map00010
KO:K00627	map00020
KO:K00627	map00620
KO:K00627	map01200
KO:K00628	map00360
KO:K00629	map00561
KO:K00629	map00564
KO:K00630	map00561
KO:K00630	map00564
