KO_id	modules
KO:K01822	M00107
KO:K01822	M00110
KO:K01823	M00095
KO:K01823	M00096
KO:K01823	M00364
KO:K01823	M00365
KO:K01823	M00366
KO:K01823	M00367
KO:K01824	M00101
KO:K01825	M00032
KO:K01825	M00087
KO:K01826	M00533
KO:K01834	M00001
KO:K01834	M00002
KO:K01834	M00003
KO:K01835	M00549
KO:K01840	M00114
KO:K01845	M00121
KO:K01846	M00740
KO:K01847	M00373
KO:K01847	M00376
KO:K01847	M00741
KO:K01848	M00375
KO:K01848	M00376
KO:K01848	M00741
KO:K01849	M00375
KO:K01849	M00376
KO:K01849	M00741
KO:K01850	M00024
KO:K01850	M00025
KO:K01851	M00116
KO:K01852	M00101
KO:K01856	M00568
KO:K01859	M00137
KO:K01866	M00359
KO:K01866	M00360
KO:K01867	M00359
KO:K01867	M00360
KO:K01868	M00359
KO:K01868	M00360
KO:K01869	M00359
KO:K01869	M00360
KO:K01870	M00359
KO:K01870	M00360
KO:K01872	M00359
KO:K01872	M00360
KO:K01873	M00359
KO:K01873	M00360
KO:K01874	M00359
KO:K01874	M00360
KO:K01875	M00359
KO:K01875	M00360
KO:K01876	M00359
KO:K01876	M00360
KO:K01878	M00360
KO:K01879	M00360
KO:K01880	M00359
KO:K01880	M00360
KO:K01881	M00359
KO:K01881	M00360
KO:K01883	M00359
KO:K01883	M00360
KO:K01884	M00360
KO:K01885	M00121
KO:K01885	M00359
KO:K01885	M00360
KO:K01886	M00359
KO:K01886	M00360
KO:K01887	M00359
KO:K01887	M00360
KO:K01889	M00359
KO:K01889	M00360
KO:K01890	M00359
KO:K01890	M00360
KO:K01892	M00359
KO:K01892	M00360
KO:K01893	M00359
KO:K01893	M00360
KO:K01895	M00357
KO:K01897	M00086
KO:K01899	M00009
KO:K01899	M00011
KO:K01900	M00009
KO:K01900	M00011
KO:K01902	M00009
KO:K01902	M00011
KO:K01902	M00173
KO:K01902	M00374
KO:K01902	M00620
KO:K01903	M00009
KO:K01903	M00011
KO:K01903	M00173
KO:K01903	M00374
KO:K01903	M00620
KO:K01904	M00039
KO:K01904	M00137
KO:K01904	M00350
KO:K01906	M00577
KO:K01911	M00116
KO:K01916	M00115
KO:K01918	M00119
KO:K01919	M00118
KO:K01920	M00118
KO:K01922	M00120
KO:K01923	M00048
KO:K01930	M00126
KO:K01933	M00048
KO:K01935	M00123
KO:K01935	M00573
KO:K01935	M00577
KO:K01937	M00052
KO:K01938	M00140
KO:K01938	M00377
KO:K01939	M00049
KO:K01940	M00029
KO:K01945	M00048
KO:K01947	M00120
KO:K01948	M00029
KO:K01950	M00115
KO:K01951	M00050
KO:K01952	M00048
KO:K01954	M00051
KO:K01955	M00051
KO:K01956	M00051
KO:K01958	M00173
KO:K01959	M00173
KO:K01959	M00620
KO:K01960	M00173
KO:K01960	M00620
KO:K01961	M00082
KO:K01961	M00376
KO:K01962	M00082
KO:K01962	M00376
KO:K01963	M00082
KO:K01963	M00376
KO:K01964	M00375
KO:K01964	M00741
KO:K01965	M00373
KO:K01965	M00741
KO:K01966	M00373
KO:K01966	M00741
KO:K01968	M00036
KO:K01969	M00036
KO:K01988	M00068
KO:K01989	M00247
KO:K01990	M00254
KO:K01992	M00254
KO:K01995	M00237
KO:K01996	M00237
KO:K01997	M00237
KO:K01998	M00237
KO:K01999	M00237
KO:K02000	M00208
KO:K02001	M00208
KO:K02002	M00208
KO:K02003	M00258
KO:K02004	M00258
KO:K02006	M00245
KO:K02006	M00246
KO:K02007	M00245
KO:K02007	M00246
KO:K02008	M00245
KO:K02008	M00246
KO:K02009	M00245
KO:K02009	M00246
KO:K02010	M00190
KO:K02011	M00190
KO:K02012	M00190
KO:K02013	M00240
KO:K02015	M00240
KO:K02016	M00240
KO:K02017	M00189
KO:K02018	M00189
KO:K02020	M00189
KO:K02025	M00207
KO:K02026	M00207
KO:K02027	M00207
KO:K02028	M00236
KO:K02029	M00236
KO:K02030	M00236
KO:K02031	M00239
KO:K02032	M00239
KO:K02033	M00239
KO:K02034	M00239
KO:K02035	M00239
KO:K02036	M00222
KO:K02037	M00222
KO:K02038	M00222
KO:K02040	M00222
KO:K02041	M00223
KO:K02042	M00223
KO:K02044	M00223
KO:K02045	M00185
KO:K02046	M00185
KO:K02047	M00185
KO:K02048	M00185
KO:K02049	M00188
KO:K02050	M00188
KO:K02051	M00188
KO:K02052	M00193
KO:K02053	M00193
KO:K02054	M00193
KO:K02055	M00193
KO:K02056	M00221
KO:K02057	M00221
KO:K02058	M00221
KO:K02062	M00191
KO:K02063	M00191
KO:K02064	M00191
KO:K02065	M00210
KO:K02065	M00669
KO:K02065	M00670
KO:K02066	M00210
KO:K02066	M00669
KO:K02066	M00670
KO:K02067	M00210
KO:K02067	M00669
KO:K02067	M00670
KO:K02068	M00211
KO:K02069	M00211
KO:K02071	M00238
KO:K02072	M00238
KO:K02073	M00238
KO:K02074	M00244
KO:K02075	M00244
KO:K02077	M00244
KO:K02084	M00685
KO:K02087	M00693
KO:K02089	M00692
KO:K02091	M00692
KO:K02105	M00677
KO:K02107	M00159
KO:K02108	M00157
KO:K02109	M00157
KO:K02110	M00157
KO:K02111	M00157
KO:K02112	M00157
KO:K02113	M00157
KO:K02114	M00157
KO:K02115	M00157
KO:K02117	M00159
KO:K02118	M00159
KO:K02119	M00159
KO:K02120	M00159
KO:K02121	M00159
KO:K02122	M00159
KO:K02123	M00159
KO:K02124	M00159
KO:K02125	M00158
KO:K02126	M00158
KO:K02127	M00158
KO:K02128	M00158
KO:K02129	M00158
KO:K02130	M00158
KO:K02131	M00158
KO:K02132	M00158
KO:K02133	M00158
KO:K02134	M00158
KO:K02135	M00158
KO:K02136	M00158
KO:K02137	M00158
KO:K02138	M00158
KO:K02139	M00158
KO:K02140	M00158
KO:K02141	M00158
KO:K02142	M00158
KO:K02143	M00158
KO:K02144	M00160
KO:K02145	M00160
KO:K02146	M00160
KO:K02147	M00160
KO:K02148	M00160
KO:K02149	M00160
KO:K02150	M00160
KO:K02151	M00160
KO:K02152	M00160
KO:K02153	M00160
KO:K02154	M00160
KO:K02155	M00160
KO:K02160	M00082
KO:K02160	M00376
KO:K02169	M00572
KO:K02170	M00572
KO:K02171	M00627
KO:K02172	M00627
KO:K02187	M00685
KO:K02193	M00259
KO:K02194	M00259
KO:K02195	M00259
KO:K02201	M00120
KO:K02202	M00290
